Model,Line,Direction,Class_ID,Class_Name,Count
yolov5mu,Line1,up,2.0,car,8
yolov5mu,Line1,up,7.0,truck,8
yolov5mu,Line1,down,2.0,car,20
yolov5mu,Line1,down,7.0,truck,1
