Model,Line,Direction,Class_ID,Class_Name,Count
yolox-m,Line1,up,2.0,car,24
yolox-m,Line1,up,7.0,truck,7
yolox-m,Line1,down,2.0,car,35
yolox-m,Line1,down,5.0,bus,1
