Model,Line,Direction,Class_ID,Class_Name,Count
yolov8s,Line1,up,2.0,car,4
yolov8s,Line1,up,7.0,truck,4
yolov8s,Line1,down,2.0,car,14
yolov8s,Line1,down,7.0,truck,1
