Model,Line,Direction,Class_ID,Class_Name,Count
yolo12s,Line1,up,2.0,car,19
yolo12s,Line1,up,7.0,truck,6
yolo12s,Line1,down,2.0,car,27
yolo12s,Line1,down,7.0,truck,1
