Model,Line,Direction,Class_ID,Class_Name,Count
yolov8m,Line1,up,2.0,car,21
yolov8m,Line1,up,7.0,truck,9
yolov8m,Line1,down,2.0,car,34
yolov8m,Line1,down,7.0,truck,1
